Subject,Topic,Subtopic,Question,Explanation,Option A,Option B,Option C,Option D,Correct Option
Thoracic Radiology,General,Thoracic Radiology,Identify the likely diagnosis for a 45-year-old patient who has had chronic cough and hemoptysis. The provided imaging shows an irregular mass in the lung.,"Correct Option: A - Lung cancer. The chronic cough and hemoptysis, along with an irregular lung mass, strongly suggest malignancy. Incorrect Options: B would present with more diffuse changes rather than an irregular mass, C would typically show cavitary lesions, and D would present acutely rather than chronically.",Lung cancer,Sarcoidosis,Tuberculosis,Pulmonary embolism,A
Orthopedics,Upper Limb,Upper Limb,Which muscle is involved when a patient exhibits extension of the MCP joint and flexion of the IP joints?,"The extension of the MCP joint and flexion of the IP joints is caused by the interossei and lumbrical muscles. These muscles play roles in finger abduction, adduction, and extension.",Extensor digitorum,Interossei and lumbricals,Abductor pollicis longus,Abductor pollicis brevis,B
Orthopedics,Upper Limb,Upper Limb,Which nerve is affected in a patient who exhibits muscle wasting in the hypothenar region and experiences a loss of sensation in the medial one and a half digits?,Hypothenar muscle wasting and loss of sensation of the medial one and a half digits indicate the involvement of the ulnar nerve.,Musculocutaneous,Radial,Ulnar,Median,C
Urology,Urology,Urology,"What is the most suitable course of action for the condition of a 44-year-old woman who arrives at the hospital with a palpable mass on her flank? The mass measures 4cm according to CT imaging, and urine examination reveals the presence of malignant cells.","→ The Given clinical scenario, is highly suggestive of Renal cell carcinoma (RCC) → In renal cell carcinoma in which the tumor is less than 4 cm in size the preferred treatment is the Partial nephrectomy (Nephron sparing surgery). Incorrect Choices: Option b. Neoadjuvant chemotherapy is a cancer therapy in which chemotherapy drugs are conducted on the tumor before its surgical extraction. The doctor may recommend neoadjuvant chemotherapy to shrink the breast cancer tumor to provide more surgical options for care. Option c. Radical nephrectomy is such type of surgery in which the entire kidney, along with the sectio n of the ureter (bladder) tube, glands present on the kidney, i.e., adrenal gland, and fatty acids that surr ound the kidney, are removed. Hence, this is the incorrect answer. Option d. The radiotherapy (RT) applied on post-surgical resection decreases the risk of local reappear ance.",Partial nephrectomy,Partial nephrectomy + neoadjuvant chemotherapy,Radical nephrectomy,Radical nephrectomy + postoperative radiotherapy,A
Urology,Urology,Urology,"A 50-year-old malecomes to the clinic with swelling in the scrotum. Upon examination, the testis can be felt as distinct from the swelling in the scrotum, and the swelling exhibits transillumination. What is the most likely diagnosis for this patient? (or) A 50-year-old male presents with scrotal swelling that he has noticed recently. On examination, the testis can be palpated as a separate structure from the scrotal swelling. The swelling is also noted to show transillumination when examined with a light source. The patient reports no pain or discomfort associated with the swelling. What is the most likely diagnosis for this patient?","Correct Option A. Spermatocele → Is a unilocular retention cyst derived from some portion of the sperm-conducting mechanism of the epididymis. Clinical features → It lies in the head of the epididymis above and behind the upper pole of the testis, so one can feel the testis separate from the scrotal swelling. It is usually softer and laxer than other cystic lesions in the scrotum but like them it transilluminates. → The fluid contains spermatozoa and resembles barley water in appearance. → Spermatoceles are usually small and unobtrusive. Less frequently they are large enough to make the patient think that he has three testicles. Treatment: Small spermatoceles can be ignored. Larger ones should be aspirated or excised through a scrotal incision.",Spermatocele,Epididymal cyst 1182,Secondary hydrocele,Primary hydrocele,A
Vaccines,General,Vaccines,Which of the options listed below indicates the degree of heat resistance exhibited by vaccines?,"The marker of heat stability of vaccines is indicated by the Vaccine Vial Monitor (VVM), which is a visual indicator on vaccine vials that changes color based on temperature exposure, providing an assessment of heat stability and potential loss of vaccine efficacy.",A. VMV,B. VVM,C. MVV,D. VMM,B
Microbiology,Virology,Virology,"Which of the following tests can be employed to validate the diagnosis of HSV encephalitis in a patient who exhibits symptoms such as high fever, altered sensorium, headache, neck rigidity, and seizures?","PCR (Polymerase Chain Reaction) is a highly sensitive and specific molecular diagnostic technique
 used to detect the presence of viral DNA or RNA.
 • In the case of HSV encephalitis, CSF PCR for viral DNA is the gold standard test for confirming the
 diagnosis. It can identify the presence of HSV genetic material in the CSF, providing strong evidence of
 HSV as the causative agent.
 • PCR is extremely specific (98-100%) and sensitive (94-98%). Within 24 hours of the onset of
 symptoms, the results turn positive, and they continue to do so for at least 5-7 days following the
 initiation of antiviral therapy",A. IgM in CSF,B. Tzanck smear of CSF,C. CSF PCR for viral DNA,D. CSF culture on chick embryo lines,C
Microbiology,Virology,Virology,Which of the following viruses exhibits genetic re-assortment similar to that of influenza virus?,"• Virus which have segmented genome will show genetic reassortment in which co-infection of a host
 cell with multiple viruses results in the shuffling of gene segments to generate progeny viruses with
 novel genome combinations. Hence Option A shows virus is having segmented genome.
 • Reassortment is exclusively seen in viruses with a segmented genome. It is defined as the exchange
 of intact genes within the entire segment, which occurs during coinfection. Reassortment has been
 observed in Bunyaviridae, Reoviruses, arenavirus, and Orthomyxoviruses.",A. 1,B. 2,C. 3,D. 4,A
Vitamins,General,Vitamins,An elderly patient who follows a vegetarian diet and exhibits symptoms of easy tiredness and paleness was examined.,"The probable cause of anemia in this elderly patient with easy fatigability, pallor, macrocytic anemia, and specific laboratory findings is Vitamin B12 deficiency. Vitamin B12 deficiency can lead to macrocytic anemia, characterized by enlarged red blood cells (high MCV) and a decrease in the number of red blood cells. Elevated serum homocysteine is common in vitamin B12 deficiency.",Vitamin B6 deficiency,Alcohol-induced macrocytosis,Vitamin B12 deficiency,Thiamine deficiency,C
Vitamins,General,Vitamins,What is the deficiency in a patient who exhibits the following features: -,"Tryptophan deficiency can lead to pellagra, a condition characterized by a deficiency of niacin (vitamin B3). Pellagra can present with various symptoms, including dermatitis, diarrhea, dementia, and the characteristic Casal's necklace, which refers to a dark pigmentation around the neck.",Phenylalanine,Tryptophan,Glutamine,Arginine,B
Vitamins,General,Vitamins,"In a patient, if they exhibit symptoms of diarrhea, dermatitis, and dementia, which vitamin deficiency would you consider as a potential cause?","The patient's symptoms of diarrhea, dermatitis, and dementia are characteristic of a condition known as pellagra, which is primarily caused by a deficiency in Vitamin B3, also known as niacin.",Vitamin B3 deficiency,Vitamin B1 deficiency,Vitamin B6 deficiency,Vitamin B12 deficiency,A
